Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/10/2022,01/11/2022,ALLIANZ EVENT INS,Bills & Utilities,Sale,-18.00,
01/10/2022,01/11/2022,CVS/PHARMACY #09595,Health & Wellness,Sale,-66.69,
01/08/2022,01/09/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
01/08/2022,01/09/2022,AMZN Mktp US*NK9E707N3,Shopping,Sale,-21.94,
01/06/2022,01/07/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-42.44,
01/06/2022,01/07/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
01/05/2022,01/07/2022,IN N OUT BURGER 120,Food & Drink,Sale,-29.19,
01/06/2022,01/07/2022,CITY OF BERKELEY- IPS,Travel,Sale,-0.75,
01/06/2022,01/07/2022,AMZN Mktp US*AT0U15M73,Shopping,Sale,-8.82,
01/05/2022,01/06/2022,SONIC.NET,Bills & Utilities,Sale,-53.24,
01/04/2022,01/06/2022,SHELL OIL 57444479208,Gas,Sale,-18.42,
01/06/2022,01/06/2022,SQ *RESTAURANT SELF-SERVE,Groceries,Sale,-9.73,
01/04/2022,01/05/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
01/03/2022,01/04/2022,SNACKPASS* WIKIWIKI HA,Food & Drink,Sale,-13.19,
12/30/2021,01/02/2022,IMM THAI,Food & Drink,Sale,-60.89,
12/31/2021,01/02/2022,KING PIN DONUT,Food & Drink,Sale,-5.00,
12/31/2021,12/31/2021,Payment Thank You-Mobile,,Payment,1493.17,
12/28/2021,12/30/2021,SHELL OIL 57444479208,Gas,Sale,-14.72,
12/24/2021,12/27/2021,PEACH TREE INN,Travel,Sale,-23.72,
12/24/2021,12/26/2021,BIRRIA DEL VALLE,Food & Drink,Sale,-38.33,
12/25/2021,12/26/2021,IN N OUT BURGER 250,Food & Drink,Sale,-9.59,
12/23/2021,12/26/2021,PEACH TREE INN,Travel,Sale,-100.00,
12/25/2021,12/26/2021,IN N OUT BURGER 250,Food & Drink,Sale,-2.86,
12/23/2021,12/26/2021,DIN TAI FUNG ARCADIA,Food & Drink,Sale,-110.00,
12/22/2021,12/24/2021,SIX FLAGS MAGIC MOUNTAIN,Food & Drink,Sale,-15.32,
12/22/2021,12/24/2021,SIX FLAGS MAGIC MOUNTAIN,Entertainment,Sale,-30.00,
12/23/2021,12/24/2021,OOKOOK KOREAN BBQ,Food & Drink,Sale,-133.00,
12/23/2021,12/24/2021,SIX FLAGS MAGIC MOUNTAIN,Entertainment,Sale,-68.99,
12/21/2021,12/23/2021,CVS/PHARMACY #09146,Health & Wellness,Sale,-8.26,
12/21/2021,12/23/2021,MO MO PARADISE,Food & Drink,Sale,-155.85,
12/22/2021,12/23/2021,APX SPEEDZONE LOS ANGE,Entertainment,Sale,-7.44,
12/21/2021,12/23/2021,FRESH BAKERY,Food & Drink,Sale,-11.00,
12/22/2021,12/23/2021,ELAUT USA INC,Entertainment,Sale,-5.00,
12/21/2021,12/23/2021,APX SPEEDZONE LOS ANGE,Entertainment,Sale,-143.96,
12/20/2021,12/22/2021,TOKYO CENTRAL MARKE,Groceries,Sale,-26.26,
12/21/2021,12/22/2021,MASTER NUTS,Food & Drink,Sale,-19.56,
12/19/2021,12/22/2021,SAU CAN THO VIETNAMESE KI,Food & Drink,Sale,-117.00,
12/20/2021,12/22/2021,MENYA HANABI,Food & Drink,Sale,-70.00,
12/20/2021,12/21/2021,SQ *HUY FONG FOODS  INC.,Groceries,Sale,-12.40,
12/19/2021,12/21/2021,IN N OUT BURGER 267,Food & Drink,Sale,-9.81,
12/19/2021,12/20/2021,KING PIN DONUT,Food & Drink,Sale,-5.00,
12/18/2021,12/20/2021,WENDY'S 0005,Food & Drink,Sale,-31.62,
12/17/2021,12/20/2021,SHELL OIL 57444479208,Gas,Sale,-20.53,
12/18/2021,12/19/2021,TST* Hotboys,Food & Drink,Sale,-16.54,
12/17/2021,12/19/2021,PARKING FINES - PSPT,Travel,Sale,-60.00,
12/18/2021,12/19/2021,SQ *ARTICHOKE BASILLE'S P,Food & Drink,Sale,-6.55,
12/16/2021,12/17/2021,BERKELEY 7,Entertainment,Sale,-22.02,
12/16/2021,12/17/2021,BERKELEY 7,Entertainment,Sale,-10.00,
12/15/2021,12/16/2021,KAISER 02090116,Health & Wellness,Sale,-35.00,
12/15/2021,12/16/2021,LULULEMONCOM*,Shopping,Sale,-19.76,
12/15/2021,12/16/2021,RALEIGHS PUB,Food & Drink,Sale,-79.38,
12/14/2021,12/15/2021,SLIVERS,Food & Drink,Sale,-23.70,
12/14/2021,12/14/2021,Payment Thank You-Mobile,,Payment,548.93,
12/14/2021,12/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
12/11/2021,12/12/2021,SQ *CAL ATHLETICS,Food & Drink,Sale,-4.00,
12/09/2021,12/12/2021,PARKING FINES - PSPT,Travel,Sale,-46.00,
12/11/2021,12/12/2021,MCDONALD'S F776,Food & Drink,Sale,-14.53,
12/08/2021,12/09/2021,RALEIGHS PUB,Food & Drink,Sale,-90.00,
12/08/2021,12/09/2021,SQ *CHASE CENTER,Food & Drink,Sale,-76.50,
12/06/2021,12/08/2021,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-2.92,
12/06/2021,12/08/2021,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-11.63,
12/07/2021,12/07/2021,LYFT   *2 RIDES 12-04,Travel,Sale,-15.88,
12/05/2021,12/06/2021,ARCO#02035HADI MOSAVI,Gas,Sale,-15.31,
12/05/2021,12/06/2021,PAPPYS GRILL AND SPORTS B,Food & Drink,Sale,-10.00,
12/05/2021,12/06/2021,MCDONALD'S F776,Food & Drink,Sale,-14.53,
12/04/2021,12/05/2021,KING PIN DONUT,Food & Drink,Sale,-2.75,
12/04/2021,12/05/2021,PAPPYS GRILL AND SPORTS B,Food & Drink,Sale,-6.00,
12/01/2021,12/02/2021,RALEIGHS PUB,Food & Drink,Sale,-73.87,
12/01/2021,12/02/2021,CREAM,Food & Drink,Sale,-6.49,
11/30/2021,12/01/2021,SONIC.NET,Bills & Utilities,Sale,-53.24,
11/29/2021,11/30/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-18.90,
11/29/2021,11/30/2021,KAISER 02090116,Health & Wellness,Sale,-35.00,
11/24/2021,11/25/2021,CREAM,Food & Drink,Sale,-19.47,
11/22/2021,11/22/2021,Payment Thank You-Mobile,,Payment,106.13,
11/22/2021,11/22/2021,LYFT   *1 RIDE 11-20,Travel,Sale,-9.96,
11/21/2021,11/22/2021,DOORDASH*THE HALAL GUY,Food & Drink,Sale,-21.95,
11/17/2021,11/18/2021,PAPPYS GRILL AND SPORTS B,Food & Drink,Sale,-8.76,
11/15/2021,11/16/2021,KAISER 02090116,Health & Wellness,Sale,-35.00,
11/14/2021,11/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
11/13/2021,11/14/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-9.48,
11/11/2021,11/11/2021,Payment Thank You-Mobile,,Payment,441.57,
11/10/2021,11/11/2021,YOGURT PARK,Food & Drink,Sale,-4.65,
11/10/2021,11/11/2021,PAPPYS GRILL AND SPORTS B,Food & Drink,Sale,-8.76,
11/11/2021,11/11/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-9.48,
11/09/2021,11/10/2021,SQ *CHEESE ?N? STUFF,Food & Drink,Sale,-11.25,
11/08/2021,11/09/2021,FD *CA DMV 556,Bills & Utilities,Sale,-38.00,
11/08/2021,11/09/2021,FD *CA DMV 556 *SVC,Bills & Utilities,Sale,-0.88,
11/08/2021,11/08/2021,LYFT   *2 RIDES 11-06,Travel,Sale,-73.82,
11/05/2021,11/07/2021,BERKELEY 7,Entertainment,Sale,-74.30,
11/03/2021,11/05/2021,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-11.63,
11/03/2021,11/04/2021,KAISER 02090116,Health & Wellness,Return,260.00,
11/01/2021,11/02/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-4.97,
11/01/2021,11/02/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-33.43,
10/31/2021,11/01/2021,SONIC.NET,Bills & Utilities,Sale,-52.99,
10/29/2021,10/31/2021,Amazon.com*2S8NJ1GM0,Shopping,Sale,-15.30,
10/25/2021,10/26/2021,KAISER 02090124,Health & Wellness,Sale,-35.00,
10/22/2021,10/24/2021,JONG GA HOUSE.,Food & Drink,Sale,-350.00,
10/18/2021,10/18/2021,Payment Thank You-Mobile,,Payment,652.34,
10/14/2021,10/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
10/11/2021,10/12/2021,UBER   EATS,Food & Drink,Sale,-41.82,
10/04/2021,10/05/2021,KAISER 02090116,Health & Wellness,Sale,-35.00,
10/03/2021,10/03/2021,LYFT   *2 RIDES 10-01,Travel,Sale,-28.93,
10/02/2021,10/03/2021,KAISER 02090116,Health & Wellness,Sale,-260.00,
10/02/2021,10/03/2021,JONG GA HOUSE.,Food & Drink,Sale,-140.00,
09/23/2021,09/24/2021,TRADER JOE'S #186  QPS,Groceries,Sale,-41.78,
09/21/2021,09/22/2021,PARKING FINES - PSPT,Travel,Sale,-46.00,
09/22/2021,09/22/2021,Amazon.com*2G2TZ1Y50,Shopping,Sale,-28.81,
09/18/2021,09/19/2021,Payment Thank You-Mobile,,Payment,617.36,
09/15/2021,09/16/2021,AMZN Mktp US*2G0Y46QB1,Shopping,Sale,-22.04,
09/14/2021,09/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-25.49,
09/13/2021,09/14/2021,AMZN Mktp US*2G1UP6VZ1,Shopping,Sale,-33.06,
09/12/2021,09/12/2021,Amazon.com*2G8LW4P01,Shopping,Sale,-406.06,
09/11/2021,09/12/2021,TRADER JOE'S #108  QPS,Groceries,Sale,-74.65,
09/10/2021,09/10/2021,LYFT   *1 RIDE 09-07,Travel,Sale,-12.11,
09/06/2021,09/07/2021,AMZN Mktp US*251AI3GD2,Shopping,Sale,-7.16,
09/06/2021,09/07/2021,BERKELEY 7,Entertainment,Sale,-9.29,
09/06/2021,09/07/2021,REGAL CINEMAS MOBILE APP,Entertainment,Sale,-27.50,
09/03/2021,09/03/2021,Payment Thank You-Mobile,,Payment,228.54,
08/29/2021,08/30/2021,BART-CLIPPER BERKELEY,Travel,Sale,-8.00,
08/28/2021,08/29/2021,CHEVRON 0305604,Gas,Sale,-9.91,
08/28/2021,08/29/2021,TRADER JOE'S #186  QPS,Groceries,Sale,-20.24,
08/26/2021,08/27/2021,PARKING FINES - PSPT,Travel,Sale,-46.00,
08/26/2021,08/27/2021,UCB CAL ATHLETICS EVENUE,Education,Sale,-103.00,
08/24/2021,08/24/2021,LYFT   *1 RIDE 08-22,Travel,Sale,-24.78,
08/21/2021,08/23/2021,UNIVERSITY VALERO,Gas,Sale,-16.61,
08/21/2021,08/22/2021,Payment Thank You-Mobile,,Payment,429.69,
08/18/2021,08/19/2021,AMZN Mktp US*2D84G5631,Shopping,Sale,-64.42,
08/14/2021,08/15/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-49.99,
08/14/2021,08/15/2021,COSTCO WHSE #0482,Shopping,Sale,-7.12,
08/14/2021,08/15/2021,TRADER JOE'S #231  QPS,Groceries,Sale,-56.31,
08/13/2021,08/15/2021,AMZN Mktp US*2P61B39G2,Shopping,Sale,-26.33,
08/13/2021,08/13/2021,AMZN Mktp US*2D7WA9021,Shopping,Sale,-68.60,
08/08/2021,08/08/2021,Payment Thank You-Mobile,,Payment,499.43,
08/06/2021,08/08/2021,TRADER JOE'S #186  QPS,Groceries,Sale,-40.11,
08/06/2021,08/08/2021,IKEA EAST BAY,Home,Sale,-116.81,
08/03/2021,08/04/2021,AMZN Mktp US*2P55N5JY2,Shopping,Sale,-44.63,
08/02/2021,08/03/2021,Amazon.com*2P6FL01T0,Shopping,Sale,-113.56,
08/02/2021,08/03/2021,Amazon.com*2P28690A0,Shopping,Sale,-27.06,
08/03/2021,08/03/2021,AMZN Mktp US*2P71L5NF2,Shopping,Sale,-36.18,
07/31/2021,08/02/2021,HANG TEN ALAMEDA,Food & Drink,Sale,-269.25,
07/25/2021,07/25/2021,Payment Thank You-Mobile,,Payment,275.01,
07/23/2021,07/25/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-8.75,
07/20/2021,07/22/2021,MOUNTAIN MIKES PIZZA,Food & Drink,Sale,-56.21,
07/20/2021,07/21/2021,Amazon.com*2E7LW4XV0,Shopping,Sale,-15.20,
07/19/2021,07/20/2021,AMZN Mktp US*2E0GN81O0,Shopping,Sale,-70.62,
07/18/2021,07/19/2021,WHOLEFDS GIL #10530,Groceries,Sale,-22.99,
07/17/2021,07/18/2021,TRADER JOE'S #108  QPS,Groceries,Sale,-13.66,
07/16/2021,07/18/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
07/14/2021,07/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-49.99,
07/11/2021,07/12/2021,SQ *PAPI'S PIZZA ROMA INC,Food & Drink,Sale,-16.19,
07/09/2021,07/11/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
07/09/2021,07/11/2021,MCDONALD'S F2094,Food & Drink,Sale,-3.85,
07/08/2021,07/08/2021,Payment Thank You-Mobile,,Payment,249.04,
07/06/2021,07/07/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
07/04/2021,07/05/2021,GET OUTDOORS 365,Shopping,Sale,-21.84,
07/02/2021,07/04/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
07/03/2021,07/04/2021,ABE'S PIZZA,Food & Drink,Sale,-9.40,
07/01/2021,07/02/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
06/29/2021,06/30/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
06/28/2021,06/29/2021,Subway 5440,Food & Drink,Sale,-10.61,
06/28/2021,06/29/2021,TM *ANDREW SCHULZ,Entertainment,Sale,-168.00,
06/28/2021,06/28/2021,LYFT   *RIDESHARE,Travel,Return,34.21,
06/25/2021,06/27/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-13.15,
06/24/2021,06/25/2021,OORI RICE * OORI RICE,Food & Drink,Sale,-12.05,
06/23/2021,06/23/2021,Payment Thank You-Mobile,,Payment,808.13,
06/22/2021,06/22/2021,Nike.com,Shopping,Return,54.33,
06/22/2021,06/22/2021,LYFT   *1 RIDE 06-20,Travel,Sale,-74.99,
06/14/2021,06/21/2021,TST* PRINCE STREET PIZZA,Food & Drink,Return,7.18,
06/20/2021,06/21/2021,TRADER JOE'S #108  QPS,Groceries,Sale,-10.60,
06/19/2021,06/21/2021,UNITED      0169925749320,Travel,Sale,-35.00,
06/20/2021,06/21/2021,JFKT7 APT7B DELI MKT 4123,Food & Drink,Sale,-4.34,
06/20/2021,06/20/2021,LYFT   *BIKE RIDE,Travel,Sale,-3.81,
06/20/2021,06/20/2021,LYFT   *BIKE RIDE,Travel,Sale,-37.71,
06/19/2021,06/20/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/19/2021,06/20/2021,SQ *SHAKE SHACK,Food & Drink,Sale,-30.55,
06/20/2021,06/20/2021,LYFT   *BIKE RIDE,Travel,Sale,-3.81,
06/18/2021,06/18/2021,LYFT   *2 RIDES 06-16,Travel,Sale,-54.96,
06/17/2021,06/17/2021,LYFT   *2 RIDES 06-15,Travel,Sale,-7.62,
06/15/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,XI'AN FAMOUS FOODS,Food & Drink,Sale,-1.50,
06/16/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,XI'AN FAMOUS FOODS,Food & Drink,Sale,-37.50,
06/16/2021,06/17/2021,SMASHBURGER #1339,Food & Drink,Sale,-20.33,
06/16/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,TST* LOS TACOS NO. 1 - LO,Food & Drink,Sale,-13.56,
06/15/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/16/2021,06/17/2021,TST* LOS TACOS NO.1 - CHE,Food & Drink,Sale,-5.17,
06/15/2021,06/17/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/15/2021,06/16/2021,NJT PABT          0903,Travel,Sale,-4.50,
06/13/2021,06/15/2021,E.A.K. RAMEN,Food & Drink,Sale,-57.00,
06/15/2021,06/15/2021,LYFT   *2 RIDES 06-13,Travel,Sale,-45.25,
06/13/2021,06/15/2021,PHAYUL HIMALAYAN RETAURAN,Food & Drink,Sale,-34.81,
06/14/2021,06/14/2021,Nike Inc,Shopping,Sale,-55.00,
06/13/2021,06/14/2021,NJT PABT          0903,Travel,Sale,-4.50,
06/14/2021,06/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-49.99,
06/14/2021,06/14/2021,TST* PRINCE STREET PIZZA,Food & Drink,Sale,-21.48,The order should've came out to $14.3 but I was overcharged for another 2 slices of pizza it seems like. I'd like to dispute this charge as contacting the merchant themselves is inconvenient. Thanks!
06/12/2021,06/13/2021,SP * ALLBIRDS,Shopping,Sale,-125.00,
06/11/2021,06/11/2021,Payment Thank You-Mobile,,Payment,981.35,
06/10/2021,06/11/2021,Nike.com,Shopping,Sale,-54.33,
06/09/2021,06/09/2021,Nike.com,Shopping,Return,24.66,
06/07/2021,06/08/2021,Nike.com,Shopping,Sale,-250.80,
06/05/2021,06/07/2021,UNITED      0167564903950,Travel,Sale,-328.40,
06/05/2021,06/06/2021,TST* LAMA BEANS CAFE,Food & Drink,Sale,-75.51,
06/02/2021,06/03/2021,MCDONALD'S F1405,Food & Drink,Sale,-4.03,
06/02/2021,06/03/2021,YAOYA SAN,Groceries,Sale,-22.87,
05/29/2021,05/30/2021,SP * ALLBIRDS,Shopping,Sale,-109.75,
05/26/2021,05/28/2021,IMM THAI,Food & Drink,Sale,-48.99,
05/27/2021,05/28/2021,Nike.com,Shopping,Sale,-153.07,
05/26/2021,05/27/2021,EB THE SETUP PRESENTS,Personal,Sale,-66.92,
05/25/2021,05/26/2021,Payment Thank You-Mobile,,Payment,102.60,
05/21/2021,05/23/2021,COSTCO GAS #0118,Gas,Sale,-41.31,
05/19/2021,05/20/2021,SQ *ALMARE LLC,Food & Drink,Sale,-11.30,
05/14/2021,05/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-49.99,
04/29/2021,04/30/2021,Payment Thank You-Mobile,,Payment,35.48,
04/19/2021,04/20/2021,SQ *OORI ALBANY,Food & Drink,Sale,-12.02,
04/18/2021,04/19/2021,TRADER JOE'S #108  QPS,Groceries,Sale,-18.21,
04/15/2021,04/16/2021,Payment Thank You-Mobile,,Payment,521.68,
04/13/2021,04/15/2021,STARBUCKS STORE 06936,Food & Drink,Sale,-5.25,
04/14/2021,04/14/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-24.99,
04/10/2021,04/12/2021,MCDONALD'S 4372,Food & Drink,Sale,-2.17,
04/10/2021,04/12/2021,JONG GA HOUSE.,Food & Drink,Sale,-175.00,
04/10/2021,04/11/2021,RESTAURANT SP,Food & Drink,Sale,-4.02,
04/10/2021,04/11/2021,CREAM,Food & Drink,Sale,-4.49,
04/10/2021,04/11/2021,SODA SPRINGS E STORE,Entertainment,Sale,-188.00,
04/07/2021,04/08/2021,RESTAURANT SP,Food & Drink,Sale,-24.49,
04/06/2021,04/07/2021,Subway 5440,Food & Drink,Sale,-10.06,
04/04/2021,04/05/2021,TST* NAMASTE PIZZA,Food & Drink,Sale,-34.96,
04/04/2021,04/05/2021,TST* FIRE WINGS - BERKELE,Food & Drink,Sale,-32.32,
04/02/2021,04/04/2021,CHIPOTLE 1899,Food & Drink,Sale,-21.18,
04/01/2021,04/02/2021,Payment Thank You-Mobile,,Payment,2.90,
03/28/2021,03/30/2021,MCDONALD'S 4372,Food & Drink,Sale,-5.67,
03/28/2021,03/29/2021,AMZN Mktp US,Shopping,Return,10.80,
03/26/2021,03/28/2021,JACK IN THE BOX 0433,Food & Drink,Sale,-5.23,
03/25/2021,03/28/2021,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-13.48,
03/22/2021,03/24/2021,WWW COSTCO COM,Shopping,Sale,-1260.37,
03/22/2021,03/24/2021,MCDONALD'S 4372,Food & Drink,Sale,-5.46,
03/21/2021,03/22/2021,COSTCO WHSE #0482,Shopping,Return,1314.99,
03/17/2021,03/19/2021,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-13.48,
03/17/2021,03/18/2021,Payment Thank You-Mobile,,Payment,237.49,
03/18/2021,03/18/2021,COMCAST CALIFORNIA,Bills & Utilities,Sale,-25.00,
03/15/2021,03/16/2021,TST* FIRE WINGS - BERKELE,Food & Drink,Sale,-32.32,
03/11/2021,03/14/2021,OHGANE,Food & Drink,Sale,-75.36,
03/11/2021,03/14/2021,JACK IN THE BOX 0433,Food & Drink,Sale,-4.69,
03/09/2021,03/11/2021,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-16.45,
03/09/2021,03/10/2021,AMZN Mktp US*K234H5D33,Shopping,Sale,-10.80,
03/05/2021,03/07/2021,REZI RESUME SERVICES,Shopping,Sale,-6.00,
03/06/2021,03/07/2021,TST* FIRE WINGS - BERKELE,Food & Drink,Sale,-48.48,
03/04/2021,03/07/2021,MCDONALD'S F2094,Food & Drink,Sale,-13.25,
03/03/2021,03/05/2021,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-16.45,
03/04/2021,03/04/2021,Payment Thank You-Mobile,,Payment,98.66,
03/03/2021,03/04/2021,AMZN Mktp US*JI8252ED3,Shopping,Sale,-13.69,
02/25/2021,02/28/2021,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-16.45,
02/24/2021,02/26/2021,AL'S BIG BURGER,Food & Drink,Sale,-42.80,
02/25/2021,02/26/2021,FRG*MLBSHOP.COM,Shopping,Sale,-29.48,
02/22/2021,02/23/2021,TST* VIETNAM GRILLE,Food & Drink,Sale,-28.15,
02/21/2021,02/21/2021,AMZN Mktp US,Shopping,Return,21.51,
02/14/2021,02/14/2021,Payment Thank You-Mobile,,Payment,64.86,
02/12/2021,02/14/2021,BURGER KING #2055,Food & Drink,Sale,-3.29,
02/05/2021,02/07/2021,PANDA EXPRESS #1003,Food & Drink,Sale,-10.59,
01/31/2021,02/01/2021,AMZN Mktp US*FX0S60YM3,Shopping,Sale,-45.53,
01/31/2021,02/01/2021,AMZN Mktp US*5Q2QO6JS3,Shopping,Sale,-8.74,
01/27/2021,01/27/2021,Payment Thank You-Mobile,,Payment,15.59,
01/23/2021,01/24/2021,TST* VIETNAM GRILLE,Food & Drink,Sale,-15.59,
01/20/2021,01/20/2021,Payment Thank You - Web,,Payment,11.48,
01/15/2021,01/17/2021,Payment Thank You-Mobile,,Payment,1523.61,
01/14/2021,01/15/2021,TAQUERIA LA ESTRELLA,Food & Drink,Sale,-11.48,
01/01/2021,01/04/2021,LYFT   *RIDE THU 3PM,Travel,Sale,-20.89,
01/01/2021,01/04/2021,LYFT   *RIDE THU 3PM,Travel,Reversal,20.89,
01/01/2021,01/01/2021,LYFT   *RIDE THU 3PM,Travel,Sale,-20.89,
12/29/2020,12/30/2020,CRUNCHYROLL *AUTH,Bills & Utilities,Return,1.00,
12/29/2020,12/30/2020,CRUNCHYROLL *AUTH,Bills & Utilities,Return,1.00,
12/29/2020,12/30/2020,CRUNCHYROLL *AUTH,Bills & Utilities,Return,1.00,
12/29/2020,12/29/2020,WWW COSTCO COM,Shopping,Sale,-1314.99,
12/28/2020,12/29/2020,IN N OUT BURGER 109,Food & Drink,Sale,-56.09,
12/25/2020,12/27/2020,CHEVRON 0357160,Gas,Sale,-4.18,
12/23/2020,12/25/2020,REI #12 BERKELEY,Shopping,Sale,-76.12,
12/23/2020,12/24/2020,KOREANA PLAZA MARKET OAK,Groceries,Sale,-54.34,
12/24/2020,12/24/2020,Payment Thank You - Web,,Payment,432.76,
12/20/2020,12/22/2020,FUJI HUOSHAO &amp; DUMPLING,Food & Drink,Sale,-33.83,
12/20/2020,12/21/2020,H MART - DE ANZA,Groceries,Sale,-101.50,
12/20/2020,12/20/2020,TARGET.COM  *,Shopping,Sale,-218.49,
12/19/2020,12/20/2020,ADIDAS US ONLINE STORE,Shopping,Sale,-17.02,
12/18/2020,12/18/2020,Adidas AMERICA  INC.,Shopping,Sale,-40.00,
12/13/2020,12/13/2020,UBER   EATS,Food & Drink,Sale,-21.92,
